0,Text,Label
" write a python program to add two numbers 
","num1 = 1.5
num2 = 6.3
sum = num1 + num2
print(f'Sum: {sum}')


",1
" write a python program to add two numbers 
","[' write a python program to add two numbers \n = 20/1   and highest = 10/0  # polygon length  = [math.sqrt(num)] # how many nums? # the equivalent = num{x} # to convert from a string to a comma delimiter  \\n{. ]  [bold=reduction(lambda x: "", add(x,y,end=\'\')}"".format(n,i)] ']",0
" write a python function to add two user provided numbers and return the sum
","def add_two_numbers(num1, num2):
    sum = num1 + num2
    return sum


",1
" write a python function to add two user provided numbers and return the sum
","[' write a python function to add two user provided numbers and return the sum\n of numbers""""""   ""gfg"" = ""234/1"" * height ** 2.0 * base ** 0.5  for k in range(32)  with kwargs[1:]  and k = 1.2*m*n - k + 1 for x in k.3(x + y) \\n + k :  (ew = k) +ew[y']",0
" write a program to find and print the largest among three numbers
","
num1 = 10
num2 = 12
num3 = 14
if (num1 >= num2) and (num1 >= num3):
   largest = num1
elif (num2 >= num1) and (num2 >= num3):
   largest = num2
else:
   largest = num3
print(f'largest:{largest}')


",1
" write a program to find and print the largest among three numbers
","[' write a program to find and print the largest among three numbers\n  print this number.  largest = 1.5   # smallest = 0.3  smallest={0.1}  return this list.log_line(n_list)  [end - 1]  list = list[end] # loop = 2() for 3  (counts) # 2<1.0  = {n = 3} # [print(\'YES\')} + "" |']",0
" write a program to find and print the smallest among three numbers
","num1 = 10
num2 = 12
num3 = 14
if (num1 <= num2) and (num1 <= num3):
   smallest = num1
elif (num2 <= num1) and (num2 <= num3):
   smallest = num2
else:
   smallest = num3
print(f'smallest:{smallest}')


",1
" write a program to find and print the smallest among three numbers
","[' write a program to find and print the smallest among three numbers\n example is |catalan(i*i) for i in a list of matrices |sum(list_of_nums) of_matrix}   for j in range(1, 11):  # To make the minimum difference between two lists  this is = -1.0  (x, - y) # Using a different name for this list = (-1) [x^2+']",0
" Write a python function to merge two given lists into one
","def merge_lists(l1, l2):
    return l1 + l2


",1
" Write a python function to merge two given lists into one
","["" Write a python function to merge two given lists into one\n \t\t   return True  and False  #Example: 1.Formatted Number with letters 'F' and 'I' in {one@'\\n {}'#Example:# 1.Divide | | Check! {both@\\s!'}# (both included)} and then check {no_|{' or 1}'.\\b'):  [2, 'numbers' #""]",0
" Write a program to check whether a number is prime or not
","num = 337

if num > 1:
   for i in range(2, num//2 + 1):
       if (num % i) == 0:
           print(num,""is not a prime number"")
           print(f""{i} times {num//i} is {num}"")
           break
   else:
       print(f""{num} is a prime number"")

else:
   print(f""{num} is not a prime number"")


",1
" Write a program to check whether a number is prime or not
","[' Write a program to check whether a number is prime or not\n  if the number doesn\'t occur any times. If thenumber is not, write a function to print the squares of the digits of a 4 digit number.   print(square_list)  and print (end=end="" "",se) - ""\\n"" -Output = {5, 1, 3, 4, 7, 2, 9}  for i, y in a data file. a = ""']",0
" Write a python function that prints the factors of a given number
","def print_factors(x):
   print(f""The factors of {x} are:"")
   for i in range(1, x + 1):
       if x % i == 0:
           print(i)

",1
" Write a python function that prints the factors of a given number
","["" Write a python function that prints the factors of a given number\n  \t\t  print(i)  if (i%2!=0) and (j%3!2u):  and (j+1)<0:  (l[i] + j) = x |  # Note : i% 2!=-2!\\n'#,  = (n[0] | # i not a leap year[!()]  for""]",0
" Write a program to find the factorial of a number
","num = 13
factorial = 1

if num < 0:
   print(""No factorials for negative numbers!"")

elif num == 0:
   print(""The factorial of 0 is 1"")

else:
   for i in range(1,num + 1):
       factorial = factorial*i
   print(f""The factorial of {num} is {factorial}"")


",1
" Write a program to find the factorial of a number
","["" Write a program to find the factorial of a number\n & substrutation : [a-z]# (This is a-b)#' (2, 3, 4, 5, 6) (3, 1, 2,4, [0,3]},   (1, 10, 11, 122, 7)  [1,3, ,''] (4,, 8, 324, 9, chr) using the '*'""]",0
" Write a python function to print whether a number is negative, positive or zero
","def check_pnz(num):
    if num > 0:
       print(""Positive number"")

    elif num == 0:
       print(""Zero"")

    else:
       print(""Negative number"")


",1
" Write a python function to print whether a number is negative, positive or zero
","["" Write a python function to print whether a number is negative, positive or zero\nciologize(y) or not.   Define a function which can be seen in the following ways: e, e = 0, i = 1, 1. (In other words, the negative integer '0' ) | | = {}  |= 1 | 0 |'= {'^A' \\n'\\n'.  for i in range(1, 11): ""]",0
