loc,v(g),ev(g),iv(g),v,l,d,i,t,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,Label
1.1,1.4,1.4,1.4,1.3,1.3,1.3,1.3,1.3,2,2,2,2,1.2,1.2,1.2,1.2,1.4,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
72,7,1,6,1134.13,0.05,20.31,55.85,1279.39,51,10,8,1,17,36,112,86,13,1
190,3,1,3,4348.76,0.06,17.06,254.87,4122.37,129,29,28,2,17,135,329,271,5,1
37,4,1,4,599.12,0.06,17.19,34.86,572.07,28,1,6,0,11,16,76,50,7,1
31,2,1,2,582.52,0.08,12.25,47.55,396.44,19,0,5,0,14,24,69,42,3,1
78,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
8,1,1,1,50.72,0.36,2.8,18.11,7.89,5,0,1,0,4,5,9,7,1,1
24,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
143,22,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1
73,10,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
83,11,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1
12,3,1,1,167.37,0.15,6.87,24.34,63.93,8,0,2,0,11,12,22,15,5,1
48,4,1,4,695.61,0.06,17.35,40.1,670.41,29,1,16,0,19,23,87,42,7,1
68,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
138,22,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,43,1
10,1,1,1,27,0.5,2,13.5,3,2,0,6,0,4,4,5,4,1,1
250,49,34,16,9673.31,0.01,97,99.72,52128.39,139,92,17,0,32,64,1081,388,97,1
77,8,1,1,1160.84,0.02,40.95,28.35,2640.91,59,0,16,0,7,10,167,117,15,1
85,9,1,7,1714.58,0.03,32.64,52.53,3108.95,69,0,14,0,26,47,161,118,13,1
110,17,13,8,2069.26,0.03,33.41,61.94,3840.4,81,13,14,0,27,59,176,146,33,1
49,6,6,3,927.89,0.04,25.33,36.63,1305.92,34,0,13,0,19,24,107,64,11,1
187,35,26,16,3296.33,0.02,42.56,77.45,7794.45,164,1,16,0,21,56,299,227,69,1
27,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
38,8,1,3,673.36,0.05,20.53,32.8,768.05,29,0,7,0,9,16,72,73,15,1
294,43,33,24,5811.59,0.02,40.88,142.15,13200.38,223,41,26,2,28,113,484,330,85,1
29,3,1,3,465.12,0.08,12.04,38.63,311.11,21,0,6,0,14,25,45,43,5,1
160,5,4,3,4862.12,0.03,33.11,146.86,8942.73,123,11,23,1,22,103,388,310,9,1
94,16,9,5,1236.59,0.03,34.52,35.83,2371.31,66,19,6,1,22,29,127,91,31,1
48,3,1,3,927.38,0.08,13.09,70.84,674.46,34,1,9,0,16,44,85,72,5,1
14,2,1,2,129.27,0.19,5.2,24.86,37.34,8,1,3,0,8,10,18,13,3,1
32,6,4,4,595,0.06,16.67,35.7,550.92,26,0,4,0,14,21,66,50,11,1
11,1,1,1,27,0.5,2,13.5,3,2,0,6,0,4,4,5,4,1,1
20,3,1,1,118.03,0.11,9,13.11,59.01,13,4,0,0,9,5,21,10,5,1
39,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
63,21,21,8,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1
78,6,1,5,1072.31,0.04,28.21,38.01,1680.81,45,6,19,6,20,28,113,79,11,1
209,26,17,19,0,0,0,0,0,0,0,0,0,0,0,0,0,47,1
6,2,1,1,82.04,0.17,6,13.67,27.35,4,0,0,0,10,5,15,6,3,1
44,13,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1
24,3,1,1,224.74,0.06,16.71,13.45,208.69,18,0,4,0,13,7,34,18,5,1
23,2,1,2,233.83,0.17,6,38.97,77.94,19,0,2,0,9,15,31,20,3,1
69,6,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
148,19,10,11,3223.93,0.03,34.67,93,6209.05,118,7,16,1,19,57,308,208,37,1
83,20,15,7,1300.6,0.03,33.19,39.19,2398.15,62,7,12,0,25,29,149,77,39,1
53,4,1,4,539.27,0.07,14.86,36.3,445.11,36,7,8,0,13,21,58,48,7,1
97,15,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,29,1
25,2,1,2,355,0.15,6.46,54.98,127.34,20,3,0,0,9,23,38,33,3,1
466,110,95,85,0,0,0,0,0,0,0,0,0,0,0,0,0,219,1
110,27,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1
113,19,18,11,3179.59,0.02,45.4,70.04,8019.06,92,9,12,0,26,63,271,220,37,1
119,9,7,7,1862.84,0.04,24.96,74.63,2583.37,79,21,15,2,21,53,174,126,17,1
15,3,1,2,215.49,0.11,9,23.94,107.75,10,0,2,1,12,12,29,18,5,1
44,10,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1
124,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1
8,1,1,1,51.89,0.34,2.92,17.79,8.41,4,0,2,0,5,6,8,7,1,1
162,27,23,26,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1
113,27,20,16,2829.11,0.02,41.45,68.26,6514.4,97,0,9,5,25,57,256,189,53,1
8,1,1,1,46.51,0.33,3,15.5,7.75,4,0,2,0,5,5,8,6,1,1
9,2,1,1,62.91,0.24,4.08,15.41,14.27,6,0,1,0,7,6,10,7,3,1
179,36,27,35,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1
171,16,1,16,4230.99,0.03,34.25,123.53,8050.63,115,8,24,22,19,76,370,274,31,1
77,15,11,15,1656.04,0.06,18.04,91.8,1659.65,62,4,9,0,16,51,158,115,29,1
12,4,1,1,183.4,0.13,8,22.92,81.51,8,0,2,0,12,12,24,16,7,1
42,9,1,4,708.47,0.07,14.88,47.63,585.47,28,6,6,0,17,30,116,74,27,1
14,1,1,1,346.99,0.22,4.59,75.63,88.45,12,0,0,0,4,17,40,39,1,1
19,5,1,1,267.96,0.05,21,12.76,312.62,15,0,2,0,12,8,34,28,9,1
88,8,1,7,1372.96,0.03,33.25,41.29,2536.17,52,19,12,3,21,24,174,76,15,1
13,2,1,2,235.02,0.24,4.24,55.47,55.32,10,0,1,0,7,19,27,23,3,1
46,4,1,4,396.34,0.08,11.92,33.26,262.39,28,1,14,0,13,18,47,33,7,1
129,30,18,25,2583.36,0.02,46.42,55.65,6662.64,111,1,14,1,34,52,260,142,58,1
20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
22,1,1,1,508.77,0.08,12.06,42.19,340.84,16,0,4,0,10,17,66,41,1,1
32,2,1,2,851.92,0.08,12.2,69.81,577.56,23,3,4,0,11,32,86,71,3,1
13,1,1,1,171.33,0.07,14.4,11.9,137.06,9,0,2,0,9,5,29,16,1,1
12,3,1,2,88,0.12,8.33,10.56,40.74,9,0,1,0,10,6,12,10,5,1
6,1,1,1,34.87,0.32,3.12,11.16,6.05,3,0,1,0,5,4,6,5,1,1
17,3,1,1,109.39,0.13,7.43,14.73,45.15,13,1,1,0,8,7,15,13,5,1
5,1,1,1,53.77,0.24,4.2,12.8,12.55,3,0,0,0,7,5,9,6,1,1
227,55,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,109,1
68,5,1,4,1725.75,0.03,32.04,53.85,3072.36,53,1,8,0,15,32,167,140,9,1
37,4,1,4,371.38,0.1,10.15,36.59,209.42,23,6,6,0,14,20,44,29,7,1
106,12,5,9,1759.26,0.03,34.94,50.35,3415.22,76,17,10,1,25,44,165,123,22,1
18,1,1,1,72,0.3,3.3,21.82,13.2,14,0,2,0,6,10,7,11,1,1
100,11,1,7,1636.21,0.04,28.25,57.92,2567.94,64,17,17,0,20,40,164,113,21,1
99,14,5,11,1802.66,0.04,26.16,68.92,2619.49,85,4,10,0,27,64,153,124,24,1
53,6,1,3,942.93,0.03,30.23,31.19,1583.45,37,2,10,2,19,22,106,70,11,1
4,1,1,1,30,0.5,2,15,3.33,2,0,0,0,4,4,6,4,1,1
50,5,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
14,3,1,1,82.04,0.13,8,10.26,36.46,7,2,3,0,10,5,13,8,5,1
11,2,1,1,120,0.11,9.17,13.09,61.11,8,0,1,0,10,6,19,11,3,1
174,15,11,7,3020.18,0.04,24.66,122.46,4138.1,107,28,37,0,21,86,246,202,29,1
33,4,1,3,485.51,0.09,10.71,45.31,288.99,29,0,2,0,10,21,53,45,7,1
4,1,1,1,24,0.4,2.5,9.6,3.33,2,0,0,0,5,3,5,3,1,1
13,2,1,2,236,0.13,7.8,30.26,102.27,9,0,2,0,6,10,33,26,3,1
135,11,1,9,2317.91,0.05,18.58,124.77,2392.2,92,14,24,3,18,78,191,161,21,1
49,6,3,5,760.98,0.04,23.76,32.03,1004.49,38,0,9,0,22,25,83,54,11,1
45,6,1,3,1268.92,0.04,27.36,46.38,1928.72,40,1,2,0,17,32,123,103,11,1
65,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
40,5,3,5,723.59,0.04,23.38,30.96,939.66,32,0,5,0,22,24,80,51,9,1
59,7,5,7,1089.07,0.05,20.64,52.77,1248.67,34,13,8,2,19,29,132,63,13,1
31,4,3,4,576.98,0.05,20.5,28.15,657.11,23,0,6,0,21,21,66,41,7,1
45,9,9,5,1094.87,0.03,28.97,37.8,1761.86,36,4,5,0,20,29,111,84,17,1
31,6,1,3,338.58,0.07,14.86,22.79,279.46,21,3,5,0,16,14,43,26,11,1
28,2,1,2,339.27,0.07,15.27,22.21,287.86,17,8,1,0,12,11,47,28,3,1
49,3,1,3,639.53,0.05,20.86,30.65,741.28,33,2,4,8,17,22,67,54,5,1
30,5,3,4,545.94,0.05,21,26,636.93,21,1,5,1,22,22,58,42,9,1
146,15,9,9,2658.73,0.02,43.15,61.62,6373.12,93,23,13,12,27,51,260,163,29,1
127,16,10,9,3042.25,0.02,42,72.43,7098.59,105,3,11,8,28,68,258,204,31,1
85,18,11,1,2083.96,0.02,43.89,47.48,5081.96,68,3,11,0,24,38,211,139,35,1
28,5,3,4,528.45,0.05,20,26.42,587.16,21,0,5,0,21,21,58,40,9,1
21,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
127,23,21,8,2081.07,0.03,36.58,56.89,4229.08,88,31,8,0,30,57,184,139,45,1
45,12,1,6,813.99,0.04,28.44,28.62,1286.31,34,1,8,0,16,18,96,64,23,1
31,3,1,2,438.86,0.09,10.86,40.42,264.71,24,0,5,0,12,21,49,38,5,1
11,3,1,2,165.67,0.09,11.69,14.17,107.57,9,0,0,0,11,8,22,17,5,1
28,6,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
61,8,1,3,465.34,0.04,24.55,18.96,634.56,27,24,8,0,15,11,63,36,15,1
12,2,1,1,59.21,0.24,4.08,14.5,13.43,7,0,3,0,7,6,9,7,3,1
20,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
28,3,1,2,502.11,0.08,12.32,40.76,343.67,20,0,6,0,14,25,51,44,5,1
55,4,1,4,330.22,0.03,32,10.32,587.06,19,3,31,0,16,7,45,28,7,1
38,6,1,3,339.27,0.04,23.33,14.54,439.79,12,2,19,3,14,9,45,30,11,1
14,10,7,6,396.48,0.02,43.2,9.18,951.56,12,0,0,0,12,5,61,36,19,1
142,11,1,3,651.2,0.03,37.14,17.53,1343.74,38,72,26,4,20,14,76,52,21,1
29,3,1,2,502.11,0.08,12.32,40.76,343.67,21,0,6,0,14,25,51,44,5,1
15,2,1,2,70.31,0.19,5.25,13.39,20.51,7,4,2,0,7,6,10,9,3,1
54,5,1,4,574.69,0.03,33.23,17.29,1060.96,33,5,14,0,18,13,68,48,9,1
105,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
29,3,3,2,238.42,0.14,6.9,34.55,91.39,13,9,5,0,9,15,29,23,5,1
15,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1
24,4,4,2,222.91,0.18,5.63,39.63,69.66,14,5,2,0,9,16,28,20,7,1
25,4,4,2,235.02,0.18,5.56,42.28,72.58,15,5,2,0,9,17,29,21,7,1
88,14,1,14,2215.84,0.02,50.45,43.92,6210.79,79,0,2,0,26,42,201,163,15,1
116,13,7,12,1909.43,0.04,22.9,83.4,2428.75,100,5,11,0,26,67,174,118,23,1
71,5,1,4,1338,0.06,16.07,83.25,1194.64,57,1,11,0,15,49,118,105,9,1
87,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1
19,2,1,2,188.87,0.12,8.64,21.87,90.62,9,1,4,0,10,11,24,19,3,1
99,9,1,7,1577.18,0.03,29.02,54.34,2543.06,67,14,12,2,24,43,156,104,15,1
84,8,5,5,1195.74,0.04,27.06,44.19,1797.52,54,14,11,2,23,34,125,80,14,1
77,10,1,10,1459.67,0.03,30.81,47.37,2498.85,48,19,8,0,16,27,165,104,19,1
139,20,8,3,2061.5,0.02,64.31,32.04,7365.58,68,35,26,6,28,32,202,147,39,1
37,5,1,1,721.35,0.05,18.57,38.84,744.25,26,2,6,1,12,21,78,65,9,1
29,3,1,3,485,0.09,11.63,41.7,313.41,16,4,6,1,13,19,63,34,5,1
20,3,1,3,180.09,0.11,9.33,19.29,93.38,14,0,4,0,12,9,27,14,5,1
31,3,1,3,534.18,0.09,11.76,45.42,349.06,18,4,6,1,13,21,67,38,5,1
34,5,1,1,427.74,0.05,22,19.44,522.78,14,3,13,2,13,13,47,44,9,1
62,6,4,5,953.81,0.05,18.29,52.16,969.07,47,4,9,0,17,33,98,71,11,1
132,31,23,12,7582.84,0.01,91.2,83.15,38419.71,79,43,8,0,27,45,925,304,61,1
18,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
68,4,3,4,792.05,0.1,9.9,79.97,435.83,38,15,13,0,13,42,73,64,7,1
4,1,1,1,19.65,0.5,2,9.83,2.18,2,0,0,0,4,3,4,3,1,1
22,1,1,1,110.36,0.24,4.2,26.28,25.75,3,5,6,4,7,10,15,12,1,1
10,2,1,1,78.14,0.22,4.5,17.36,19.53,7,0,1,0,9,6,14,6,3,1
76,8,6,7,787.52,0.05,20,39.38,875.03,55,7,8,4,15,24,85,64,14,1
20,2,1,2,434.27,0.11,9.25,46.95,223.17,14,0,4,0,12,24,47,37,3,1
20,2,1,2,430.86,0.1,9.65,44.64,231.04,14,0,4,0,12,23,47,37,3,1
31,6,1,2,357.23,0.05,20.45,17.46,405.95,13,4,7,5,15,11,46,30,11,1
89,21,4,5,965.22,0.03,34.5,27.98,1850.01,68,0,19,0,23,19,122,57,34,1
81,9,5,4,1154.91,0.03,30.86,37.43,1979.99,48,14,16,1,25,32,119,79,17,1
30,2,1,2,433.82,0.08,13.33,32.54,321.35,24,1,2,1,15,18,54,32,3,1
47,11,4,6,775.96,0.03,31.05,24.99,1338.52,37,0,8,0,23,20,89,54,20,1
191,27,18,23,3549.05,0.02,60.15,59,11859.54,148,32,8,0,22,47,324,257,53,1
36,7,1,4,363.2,0.06,15.6,23.28,314.77,20,6,6,0,18,15,46,26,13,1
43,12,6,5,346.79,0.07,14.57,23.8,280.74,33,0,8,0,17,14,46,24,20,1
219,31,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1
8,1,1,1,62.91,0.21,4.8,13.11,16.78,4,0,1,0,8,5,11,6,1,1
14,3,1,2,274.79,0.11,8.79,31.25,134.25,8,0,4,0,13,17,33,23,5,1
24,2,1,2,353.04,0.05,18.33,19.26,359.58,17,0,5,0,15,9,55,22,3,1
24,2,1,2,418.34,0.04,22.4,18.68,520.6,17,0,5,0,16,10,61,28,3,1
26,2,1,2,413.3,0.06,17.82,23.2,409.13,19,0,5,0,14,11,61,28,3,1
70,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1
24,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
25,4,3,3,582.52,0.05,19.5,29.87,631.06,19,0,4,0,19,19,72,39,7,1
36,2,1,2,448.01,0.08,13.33,33.6,331.86,24,1,9,0,16,21,51,35,3,1
29,4,1,3,535.76,0.08,12.4,43.19,369.19,19,5,3,0,15,26,57,43,7,1
28,7,1,4,307.16,0.11,9.39,32.72,160.22,18,5,3,0,13,18,36,26,13,1
6,1,1,1,43.19,0.5,2,21.59,4.8,3,0,1,0,4,6,7,6,1,1
40,5,1,5,711.79,0.05,20,35.59,790.87,29,4,5,0,20,22,88,44,9,1
45,8,4,6,620.15,0.04,27.33,22.69,941.71,39,0,4,0,16,12,88,41,15,1
45,7,1,6,581.69,0.04,24.67,23.58,797.13,38,0,5,0,16,12,84,37,13,1
160,18,8,6,1149.54,0.02,51.33,22.39,3278.31,64,18,73,3,22,18,132,84,35,1
27,4,3,2,406.24,0.06,17.6,23.08,397.22,18,0,7,0,16,15,49,33,7,1
121,22,1,13,2062.15,0.04,23.91,86.26,2738.81,102,5,5,7,15,48,192,153,43,1
12,2,1,1,62.91,0.18,5.6,11.23,19.57,7,0,3,0,8,5,10,7,3,1
26,2,1,2,81.41,0.26,3.86,21.11,17.44,6,1,11,0,6,7,13,9,3,1
25,6,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1
34,9,9,7,539.76,0.06,17,31.75,509.77,20,5,4,0,15,15,76,34,17,1
33,9,9,7,540.54,0.05,22.22,24.32,667.33,25,1,3,0,20,18,63,40,17,1
145,10,4,6,2349.2,0.02,41.31,56.87,5391.57,89,37,17,0,26,45,239,143,19,1
5,1,1,1,19.65,0.5,2,9.83,2.18,2,0,0,0,4,3,4,3,1,1
28,7,5,4,262.33,0.07,13.46,19.49,196.14,16,4,2,0,17,12,35,19,13,1
46,8,3,5,578.62,0.05,19.95,29,641.3,29,5,5,5,21,20,70,38,15,1
41,10,10,4,638.63,0.03,28.72,22.23,1019.05,32,0,5,0,22,18,73,47,19,1
85,18,14,17,1400.07,0.03,28.75,48.7,2236.22,71,2,9,0,23,36,148,90,35,1
60,16,7,6,1005.84,0.02,48.03,20.94,2683.9,43,1,11,3,23,17,122,71,31,1
31,7,5,5,616.92,0.04,22.5,27.42,771.14,28,0,1,0,22,22,68,45,13,1
39,8,6,6,712.54,0.04,26,27.41,1029.22,34,0,3,0,23,23,77,52,15,1
27,6,4,4,496.83,0.05,18.95,26.22,522.98,23,0,2,0,20,19,58,36,11,1
62,16,13,7,1233.83,0.03,39.72,31.07,2722.48,48,0,6,5,21,23,139,87,31,1
138,35,21,17,3191.88,0.02,51.27,62.26,9091.15,115,0,21,0,26,46,210,147,51,1
30,8,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1
34,9,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1
13,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1
26,34,34,1,1462.64,0.01,104,14.06,8450.82,20,2,2,0,14,7,229,104,67,1
